County,State,Year,Price
Pierce County,WA,2002,106.16666666666667
Snohomish County,WA,2002,140.08333333333334
Baltimore City,MD,2002,58.583333333333336
District of Columbia,DC,2002,187.58333333333334
Anne Arundel County,MD,2002,131.41666666666666
Spokane County,WA,2002,95.0
Virginia Beach City,VA,2002,80.58333333333333
Clark County,WA,2002,99.08333333333333
Prince William County,VA,2002,130.66666666666666
Chesterfield County,VA,2002,77.66666666666667
Loudoun County,VA,2002,148.75
Henrico County,VA,2002,88.5
Howard County,MD,2002,134.41666666666666
Thurston County,WA,2002,95.66666666666667
Kitsap County,WA,2002,111.66666666666667
Harford County,MD,2002,100.91666666666667
Yakima County,WA,2002,76.58333333333333
Norfolk City,VA,2002,70.25
Frederick County,MD,2002,117.25
Chesapeake City,VA,2002,79.0
Arlington County,VA,2002,245.16666666666666
Richmond City,VA,2002,67.25
Whatcom County,WA,2002,103.33333333333333
Newport News City,VA,2002,69.91666666666667
Benton County,WA,2002,74.0
Carroll County,MD,2002,117.08333333333333
Washington County,MD,2002,83.91666666666667
Charles County,MD,2002,99.08333333333333
Hampton City,VA,2002,66.08333333333333
Stafford County,VA,2002,105.33333333333333
Spotsylvania County,VA,2002,95.91666666666667
Skagit County,WA,2002,123.0
Saint Marys County,MD,2002,92.75
Cowlitz County,WA,2002,83.0
Cecil County,MD,2002,93.25
Hanover County,VA,2002,92.83333333333333
Wicomico County,MD,2002,66.66666666666667
Roanoke City,VA,2002,66.0
Portsmouth City,VA,2002,63.0
Montgomery County,VA,2002,74.08333333333333
Roanoke County,VA,2002,88.41666666666667
Grant County,WA,2002,61.833333333333336
Calvert County,MD,2002,117.08333333333333
Suffolk City,VA,2002,82.25
Island County,WA,2002,114.75
Frederick County,VA,2002,89.91666666666667
Franklin County,WA,2002,53.5
Lynchburg City,VA,2002,53.583333333333336
Lewis County,WA,2002,66.91666666666667
Allegany County,MD,2002,43.666666666666664
Augusta County,VA,2002,88.08333333333333
Grays Harbor County,WA,2002,80.91666666666667
Chelan County,WA,2002,110.66666666666667
Clallam County,WA,2002,95.25
Bedford County,VA,2002,77.66666666666667
James City County,VA,2002,91.5
York County,VA,2002,83.66666666666667
Fauquier County,VA,2002,124.75
Pittsylvania County,VA,2002,70.08333333333333
Mason County,WA,2002,91.25
Walla Walla County,WA,2002,87.5
Franklin County,VA,2002,83.5
Washington County,VA,2002,63.833333333333336
Henry County,VA,2002,
Worcester County,MD,2002,150.75
Harrisonburg City,VA,2002,88.0
Queen Annes County,MD,2002,109.25
Culpeper County,VA,2002,95.08333333333333
Whitman County,WA,2002,
Stevens County,WA,2002,63.833333333333336
Charlottesville City,VA,2002,122.25
Shenandoah County,VA,2002,80.16666666666667
Okanogan County,WA,2002,69.08333333333333
Kittitas County,WA,2002,94.58333333333333
Douglas County,WA,2002,99.75
Talbot County,MD,2002,103.91666666666667
Warren County,VA,2002,107.08333333333333
Gloucester County,VA,2002,82.58333333333333
Prince George County,VA,2002,83.25
Isle of Wight County,VA,2002,75.66666666666667
Orange County,VA,2002,88.83333333333333
Louisa County,VA,2002,92.08333333333333
Botetourt County,VA,2002,90.41666666666667
Caroline County,MD,2002,73.75
Dorchester County,MD,2002,64.25
Amherst County,VA,2002,82.33333333333333
Garrett County,MD,2002,74.25
Jefferson County,WA,2002,126.41666666666667
Caroline County,VA,2002,81.0
Powhatan County,VA,2002,88.0
Somerset County,MD,2002,52.833333333333336
Winchester City,VA,2002,93.83333333333333
Fluvanna County,VA,2002,89.33333333333333
Salem City,VA,2002,85.75
Fredericksburg City,VA,2002,87.58333333333333
Page County,VA,2002,65.41666666666667
Staunton City,VA,2002,79.75
King George County,VA,2002,87.16666666666667
Scott County,VA,2002,52.166666666666664
Hopewell City,VA,2002,
Fairfax City,VA,2002,164.0
Rockbridge County,VA,2002,87.58333333333333
Goochland County,VA,2002,100.08333333333333
Asotin County,WA,2002,92.83333333333333
Waynesboro City,VA,2002,72.41666666666667
Pacific County,WA,2002,77.33333333333333
Klickitat County,WA,2002,78.08333333333333
Kent County,MD,2002,78.33333333333333
Adams County,WA,2002,57.416666666666664
New Kent County,VA,2002,81.83333333333333
Greene County,VA,2002,88.58333333333333
Bristol City,VA,2002,55.0
Colonial Heights City,VA,2002,66.33333333333333
Giles County,VA,2002,58.25
Alleghany County,VA,2002,
King William County,VA,2002,
San Juan County,WA,2002,162.25
Grayson County,VA,2002,58.666666666666664
Nelson County,VA,2002,97.5
Manassas Park City,VA,2002,
Williamsburg City,VA,2002,102.75
Clarke County,VA,2002,115.08333333333333
Falls Church City,VA,2002,203.75
Poquoson City,VA,2002,88.41666666666667
Essex County,VA,2002,72.66666666666667
Middlesex County,VA,2002,
Ferry County,WA,2002,
King County,WA,2005,202.75
Fairfax County,VA,2005,302.75
Montgomery County,MD,2005,282.0
Prince Georges County,MD,2005,194.16666666666666
