RegionID,RegionName,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,(% change 2000-01),(% change 01-02),(% change 02-03),(% change 03-04),(% change 04-05),(% change 05-06),(% change 06-07),(% change 07-08),(% change 08-09),(% change 09-10),(% change 11-12),(% change 12-13),(% change 13-14),(% change 14-15),(% change 16-17),(% change 17-18)
2993,Palm Beach,FL,77.16666667,84.91666667,96.41666667,112.5833333,136.5833333,177.9166667,202.5833333,181.4166667,143.5833333,111.75,101.1666667,92.25,90.75,101.0833333,117.0833333,131.0833333,145.3333333,158,168.25,0.100431965,0.135426889,0.167675022,0.213175426,0.302623551,0.138641686,-0.104483752,-0.208543868,-0.221706326,-0.094705444,-0.088138386,-0.016260163,0.113865932,0.158285243,0.119572954,0.108709472
2241,Cuyahoga,OH,80.83333333,83.41666667,86,89.66666667,92.58333333,95.33333333,94.58333333,90.75,82.25,76.58333333,75.66666667,70,67.33333333,68.25,70.25,71.58333333,75.75,82.5,88.66666667,0.031958763,0.030969031,0.042635659,0.032527881,0.02970297,-0.007867133,-0.040528634,-0.093663912,-0.068895643,-0.011969532,-0.074889868,-0.038095238,0.013613861,0.029304029,0.018979834,0.058207218
3165,Hillsborough,FL,60.16666667,66.08333333,71.58333333,79.08333333,91.16666667,114.3333333,140.25,135.3333333,111.5833333,87.91666667,78.75,71,70.08333333,76.58333333,86.08333333,93.75,105,118.9166667,129.9166667,0.09833795,0.083228247,0.104772992,0.152792413,0.254113346,0.226676385,-0.035056447,-0.175492611,-0.212098581,-0.104265403,-0.098412698,-0.012910798,0.09274673,0.124047878,0.089060987,0.12
2614,Allegheny,PA,61.41666667,64.16666667,67.58333333,71.66666667,75.16666667,78,79.5,80.25,79.5,79.66666667,80.91666667,79.5,78.5,80.41666667,83,87,92.75,99.91666667,108.4166667,0.044776119,0.053246753,0.060419236,0.048837209,0.037694013,0.019230769,0.009433962,-0.009345794,0.002096436,0.015690377,-0.017507724,-0.012578616,0.024416136,0.032124352,0.048192771,0.066091954
1950,Oakland,MI,113.5,120.5833333,124.5833333,129,132.8333333,135.4166667,132.1666667,121.6666667,102.8333333,85.08333333,79,77.66666667,83.41666667,98.16666667,110.5,116.9166667,124.4166667,132.9166667,141.4166667,0.062408223,0.03317208,0.035451505,0.029715762,0.01944793,-0.024,-0.079445145,-0.154794521,-0.1726094,-0.071498531,-0.016877637,0.074034335,0.176823177,0.125636672,0.058069382,0.064148254
2288,Franklin,OH,83.08333333,87,90.91666667,94.66666667,97.66666667,100.75,100.9166667,99,94.66666667,90.66666667,89,84.16666667,81.58333333,83.66666667,87.41666667,94.83333333,101.3333333,111.5833333,120.8333333,0.047141424,0.045019157,0.041246563,0.031690141,0.031569966,0.00165426,-0.018992568,-0.043771044,-0.042253521,-0.018382353,-0.054307116,-0.030693069,0.025536261,0.044820717,0.084842707,0.068541301
2339,Hennepin,MN,121.8333333,138.6666667,154.4166667,167.9166667,182.1666667,194.5833333,199.8333333,194.4166667,179.1666667,164.25,157.4166667,142.8333333,143.25,156.1666667,167.9166667,175.75,187,200.4166667,214.9166667,0.138166895,0.113581731,0.087425796,0.084863524,0.068161025,0.026980728,-0.027105922,-0.078439777,-0.083255814,-0.041603247,-0.092641609,0.002917153,0.090168703,0.075240128,0.046650124,0.06401138
1287,Orange,FL,68.83333333,74.58333333,80.5,87.16666667,98.91666667,125.4166667,158.9166667,156.5,126.5,92,78.25,70.5,72,81.75,93.08333333,100.9166667,111.75,124.75,136.25,0.083535109,0.079329609,0.082815735,0.134799235,0.267902275,0.267109635,-0.015207132,-0.191693291,-0.272727273,-0.149456522,-0.099041534,0.021276596,0.135416667,0.138634047,0.084153984,0.107349298
1694,Fairfax County,VA,134,156.4166667,178.5833333,201.8333333,244.9166667,302.75,306.9166667,287.6666667,257.5833333,240.6666667,243.6666667,243.25,249.5833333,265.9166667,275.25,277,280.3333333,287.25,297.3333333,0.167288557,0.141715503,0.130191321,0.21345995,0.23613474,0.013762731,-0.062720608,-0.104577057,-0.065674539,0.012465374,-0.001709986,0.026036314,0.065442404,0.035098715,0.006357856,0.012033694
3159,Contra Costa,CA,174.25,206.3333333,226.1666667,256,299.9166667,363.4166667,372.8333333,347,274.3333333,212.0833333,204.25,185.75,187.6666667,236.0833333,282.8333333,318.4166667,347.0833333,376.75,400.4166667,0.184122429,0.096122779,0.131908622,0.171549479,0.211725479,0.025911488,-0.069289227,-0.209414025,-0.22691373,-0.036935167,-0.090575275,0.010318528,0.257992895,0.198023297,0.125810253,0.090028788
